dataid,local_15min,,clotheswasher_dryg1,dishwasher1,freezer1,grid,heater1
142,2019-05-01 00:00:00-05,,0.001,0,0.654,0.785,0.008
142,2019-05-01 00:15:00-05,,0.001,0,0.659,0.839,0.008
142,2019-05-01 00:30:00-05,,0.001,0,0.686,0.909,0.008
142,2019-05-01 00:45:00-05,,0.001,0,0.715,0.846,0.008
142,2019-05-01 01:00:00-05,,0.001,0,0.66,0.792,0.008
142,2019-05-01 01:15:00-05,,0.001,0,0.663,0.796,0.008
142,2019-05-01 01:30:00-05,,0.001,0,0.701,0.913,0.008
142,2019-05-01 01:45:00-05,,0.001,0,0.717,0.906,0.008
142,2019-05-01 02:00:00-05,,0.001,0,0.662,0.794,0.008
142,2019-05-01 02:15:00-05,,0.001,0,0.714,0.846,0.008
142,2019-05-01 02:30:00-05,,0,0,0.773,0.904,0.007
142,2019-05-01 02:45:00-05,,0.001,0,0.753,0.983,0.007
142,2019-05-01 03:00:00-05,,0.001,0,0.654,0.823,0.008
142,2019-05-01 03:15:00-05,,0.001,0,0.652,0.784,0.008
142,2019-05-01 03:30:00-05,,0.001,0,0.688,0.818,0.007
142,2019-05-01 03:45:00-05,,0.001,0,0.689,0.829,0.007
142,2019-05-01 04:00:00-05,,0,0,0.652,1.309,0.008
142,2019-05-01 04:15:00-05,,0.001,0,0.653,1.011,0.096
142,2019-05-01 04:30:00-05,,0.001,0,0.713,0.861,0.007
142,2019-05-01 04:45:00-05,,0.001,0,0.691,0.841,0.033
142,2019-05-01 05:00:00-05,,0.001,0,0.665,0.929,0.06
142,2019-05-01 05:15:00-05,,0.001,0,0.668,0.939,0.097
142,2019-05-01 05:30:00-05,,0.001,0.001,0.807,1.318,0.098
142,2019-05-01 05:45:00-05,,0.001,0.001,0.781,1.627,0.149
142,2019-05-01 06:00:00-05,,0.001,0.001,0.676,1.494,0.136
142,2019-05-01 06:15:00-05,,0.001,0.001,0.67,1.642,0.155
142,2019-05-01 06:30:00-05,,0.001,0,0.713,1.042,0.17
142,2019-05-01 06:45:00-05,,0.001,0,0.685,0.908,0.171
142,2019-05-01 07:00:00-05,,0.001,0.001,0.663,0.781,0.148
142,2019-05-01 07:15:00-05,,0.001,0.001,0.664,0.768,0.147
142,2019-05-01 07:30:00-05,,0.001,0,0.73,0.866,0.152
142,2019-05-01 07:45:00-05,,0.001,0,0.684,0.762,0.169
142,2019-05-01 08:00:00-05,,0.001,0,0.665,0.736,0.157
142,2019-05-01 08:15:00-05,,0.001,0.001,0.666,0.546,0.121
142,2019-05-01 08:30:00-05,,0,0.001,0.782,0.504,0.1
142,2019-05-01 08:45:00-05,,0,0.001,0.761,0.391,0.038
142,2019-05-01 09:00:00-05,,0,0,0.692,0.388,0.063
142,2019-05-01 09:15:00-05,,0,0.001,0.667,0.117,0.008
142,2019-05-01 09:30:00-05,,0,0.001,0.728,-0.063,0.008
142,2019-05-01 09:45:00-05,,0,0.001,0.674,-0.118,0.008
142,2019-05-01 10:00:00-05,,0,0.001,0.655,-0.092,0.008
142,2019-05-01 10:15:00-05,,0,0.001,0.661,-0.385,0.008
142,2019-05-01 10:30:00-05,,0,0.001,0.733,-0.465,0.008
142,2019-05-01 10:45:00-05,,0,0.001,0.694,-0.997,0.008
142,2019-05-01 11:00:00-05,,0,0.001,0.66,-1.607,0.008
