,GRU_pre_down_1step,GRU_pre_down_2step,GRU_pre_down_4step,GRU_pre_up_1step,GRU_pre_up_2step,GRU_pre_up_4step,GRU_real_down_1step,GRU_real_down_2step,GRU_real_down_4step,GRU_real_up_1step,GRU_real_up_2step,GRU_real_up_4step
0,89.78977,89.78977,89.78977,222.92006,222.92006,134.86742,293.3200000000007,0.0,0.0,28.279999999998825,25.839999999999026,25.839999999999026
1,230.60045,89.78977,89.78977,192.7107,222.92006,134.86742,574.1600000000012,0.0,0.0,25.839999999999026,25.839999999999026,25.839999999999026
2,317.2436,230.60045,89.78977,167.57733,192.7107,134.86742,523.44,511.44000000000005,0.0,76.55999999999992,25.839999999999026,25.839999999999026
3,339.91373,230.60045,89.78977,168.15982,192.7107,134.86742,500.8800000000001,511.44000000000005,0.0,99.11999999999985,25.839999999999026,25.839999999999026
4,348.235,317.2436,198.88043,173.48618,167.57733,141.84666,478.2800000000003,500.8800000000001,0.0,121.71999999999959,76.55999999999992,25.839999999999026
5,321.06818,317.2436,198.88043,224.30829,167.57733,141.84666,408.92000000000087,500.8800000000001,0.0,191.07999999999896,76.55999999999992,25.839999999999026
6,251.8731,339.91373,198.88043,349.95782,168.15982,141.84666,245.84000000000032,478.2800000000003,0.0,354.1599999999997,99.11999999999985,25.839999999999026
7,288.01633,339.91373,198.88043,322.9085,168.15982,141.84666,228.04000000000013,478.2800000000003,0.0,371.95999999999987,99.11999999999985,25.839999999999026
8,286.00998,341.36777,206.44559,318.50015,173.48618,156.37193,244.56000000000017,408.92000000000087,387.92000000000087,355.4399999999998,121.71999999999959,76.55999999999992
9,260.0577,341.36777,206.44559,336.4761,173.48618,156.37193,243.0,408.92000000000087,387.92000000000087,357.0,121.71999999999959,76.55999999999992
10,465.64597,267.5633,206.44559,100.919586,224.30829,156.37193,492.0,245.84000000000032,387.92000000000087,108.0,191.07999999999896,76.55999999999992
11,461.93732,267.5633,206.44559,79.35227,224.30829,156.37193,531.0,245.84000000000032,387.92000000000087,69.0,191.07999999999896,76.55999999999992
12,447.2926,251.8731,162.1443,64.65132,327.89337,168.15982,492.0,228.04000000000013,245.84000000000032,108.0,354.1599999999997,99.11999999999985
13,455.7573,251.8731,162.1443,47.33232,327.89337,168.15982,555.0,228.04000000000013,245.84000000000032,45.0,354.1599999999997,99.11999999999985
14,428.50815,288.01633,162.1443,63.047714,306.45636,168.15982,534.0,228.04000000000013,245.84000000000032,66.0,355.4399999999998,99.11999999999985
15,434.77493,288.01633,162.1443,56.936596,306.45636,168.15982,516.0,228.04000000000013,245.84000000000032,84.0,355.4399999999998,99.11999999999985
16,445.13522,286.00998,193.7918,45.981834,309.09183,173.48618,555.0,243.0,228.04000000000013,45.0,355.4399999999998,121.71999999999959
17,447.60364,286.00998,193.7918,39.38439,309.09183,173.48618,540.0,243.0,228.04000000000013,60.0,355.4399999999998,121.71999999999959
18,452.08923,260.0577,193.7918,32.29753,105.218056,173.48618,582.0,243.0,228.04000000000013,18.0,108.0,121.71999999999959
19,444.71033,260.0577,193.7918,36.074356,105.218056,173.48618,519.0,243.0,228.04000000000013,81.0,108.0,121.71999999999959
20,437.65396,465.64597,208.464,42.725624,61.202198,224.30829,600.0,492.0,228.04000000000013,0.0,69.0,191.07999999999896
21,433.26544,465.64597,208.464,49.01601,61.202198,224.30829,519.0,492.0,228.04000000000013,81.0,69.0,191.07999999999896
22,436.9329,461.93732,208.464,48.06752,51.99852,224.30829,543.2400000000001,492.0,228.04000000000013,56.75999999999979,69.0,191.07999999999896
