,LTSM_pre_down_1step,LTSM_pre_down_2step,LTSM_pre_down_4step,LTSM_pre_up_1step,LTSM_pre_up_2step,LTSM_pre_up_4step,LTSM_real_down_1step,LTSM_real_down_2step,LTSM_real_down_4step,LTSM_real_up_1step,LTSM_real_up_2step,LTSM_real_up_4step
0,33.094032,33.094032,33.094032,38.182167,38.182167,38.182167,293.3200000000007,0.0,0.0,28.279999999998825,25.839999999999026,25.839999999999026
1,34.457478,33.094032,33.094032,62.612495,38.182167,38.182167,574.1600000000012,0.0,0.0,25.839999999999026,25.839999999999026,25.839999999999026
2,41.396793,34.457478,33.094032,81.53342,62.612495,38.182167,523.44,511.44000000000005,0.0,76.55999999999992,25.839999999999026,25.839999999999026
3,56.61814,34.457478,33.094032,92.49856,62.612495,38.182167,500.8800000000001,511.44000000000005,0.0,99.11999999999985,25.839999999999026,25.839999999999026
4,82.56487,41.396793,34.457478,94.85406,81.53342,62.612495,478.2800000000003,500.8800000000001,0.0,121.71999999999959,76.55999999999992,25.839999999999026
5,107.21084,41.396793,34.457478,101.6351,81.53342,62.612495,408.92000000000087,500.8800000000001,0.0,191.07999999999896,76.55999999999992,25.839999999999026
6,111.50391,56.61814,34.457478,133.08606,92.49856,62.612495,245.84000000000032,478.2800000000003,0.0,354.1599999999997,99.11999999999985,25.839999999999026
7,133.14206,56.61814,34.457478,149.9011,92.49856,62.612495,228.04000000000013,478.2800000000003,0.0,371.95999999999987,99.11999999999985,25.839999999999026
8,156.5307,82.56487,41.396793,156.98874,94.85406,81.53342,244.56000000000017,408.92000000000087,387.92000000000087,355.4399999999998,121.71999999999959,76.55999999999992
9,169.21567,82.56487,41.396793,165.28087,94.85406,81.53342,243.0,408.92000000000087,387.92000000000087,357.0,121.71999999999959,76.55999999999992
10,264.3134,107.21084,41.396793,83.14851,101.6351,81.53342,492.0,245.84000000000032,387.92000000000087,108.0,191.07999999999896,76.55999999999992
11,334.53064,107.21084,41.396793,32.0935,101.6351,81.53342,531.0,245.84000000000032,387.92000000000087,69.0,191.07999999999896,76.55999999999992
12,364.72015,111.50391,56.61814,4.017954,133.08606,92.49856,492.0,228.04000000000013,245.84000000000032,108.0,354.1599999999997,99.11999999999985
13,384.0288,111.50391,56.61814,-15.482276,133.08606,92.49856,555.0,228.04000000000013,245.84000000000032,45.0,354.1599999999997,99.11999999999985
14,382.8774,133.14206,56.61814,-17.838879,149.9011,92.49856,534.0,228.04000000000013,245.84000000000032,66.0,355.4399999999998,99.11999999999985
15,386.71832,133.14206,56.61814,-18.366194,149.9011,92.49856,516.0,228.04000000000013,245.84000000000032,84.0,355.4399999999998,99.11999999999985
16,397.4117,156.5307,82.56487,-20.34631,156.98874,94.85406,555.0,243.0,228.04000000000013,45.0,355.4399999999998,121.71999999999959
17,405.7089,156.5307,82.56487,-20.665243,156.98874,94.85406,540.0,243.0,228.04000000000013,60.0,355.4399999999998,121.71999999999959
18,412.2077,169.21567,82.56487,-20.006403,165.28087,94.85406,582.0,243.0,228.04000000000013,18.0,108.0,121.71999999999959
19,410.82526,169.21567,82.56487,-14.547057,165.28087,94.85406,519.0,243.0,228.04000000000013,81.0,108.0,121.71999999999959
20,404.6594,264.3134,107.21084,-5.5677137,83.14851,101.6351,600.0,492.0,228.04000000000013,0.0,69.0,191.07999999999896
21,397.57724,264.3134,107.21084,4.7799673,83.14851,101.6351,519.0,492.0,228.04000000000013,81.0,69.0,191.07999999999896
22,394.38168,334.53064,107.21084,12.7078905,32.0935,101.6351,543.2400000000001,492.0,228.04000000000013,56.75999999999979,69.0,191.07999999999896
23,379.89966,334.53064,107.21084,27.314165,32.0935,101.6351,536.6400000000004,492.0,228.04000000000013,63.35999999999946,69.0,191.07999999999896
24,305.33044,364.72015,111.50391,87.449455,4.017954,133.08606,244.1500000000001,492.0,228.04000000000013,156.0,45.0,354.1599999999997
25,242.47667,364.72015,111.50391,160.79576,4.017954,133.08606,217.15000000000006,492.0,228.04000000000013,315.0,45.0,354.1599999999997
26,203.10779,384.0288,111.50391,217.0477,-15.482276,133.08606,193.55000000000024,534.0,228.04000000000013,338.59999999999985,45.0,354.1599999999997
27,192.86308,384.0288,111.50391,237.28474,-15.482276,133.08606,241.29000000000113,534.0,228.04000000000013,329.2099999999989,45.0,354.1599999999997
28,198.7545,382.8774,133.14206,239.61685,-17.838879,149.9011,288.0,516.0,228.04000000000013,312.0,66.0,108.0
29,188.50066,382.8774,133.14206,262.14,-17.838879,149.9011,291.0,516.0,228.04000000000013,309.0,66.0,108.0
30,171.09958,386.71832,133.14206,279.25836,-18.366194,149.9011,279.0,516.0,228.04000000000013,321.0,45.0,108.0
31,150.74792,386.71832,133.14206,295.0823,-18.366194,149.9011,278.56800000000015,516.0,228.04000000000013,321.43199999999985,45.0,108.0
32,110.85195,397.4117,156.5307,339.86816,-20.34631,85.981895,201.0,438.0,243.0,399.0,45.0,69.0
33,74.73727,397.4117,156.5307,367.38577,-20.34631,85.981895,177.56000000000083,438.0,243.0,422.43999999999954,45.0,69.0
34,24.047695,405.7089,156.5307,435.87045,-20.665243,85.981895,79.04600000000033,540.0,243.0,456.0539999999999,18.0,69.0
35,-15.188579,405.7089,156.5307,461.23615,-20.665243,85.981895,48.31000000000002,540.0,243.0,483.8399999999999,18.0,69.0
36,-39.621532,412.2077,169.21567,475.85507,-20.006403,55.778084,15.0,519.0,243.0,510.0,18.0,69.0
37,-52.97635,412.2077,169.21567,482.9755,-20.006403,55.778084,51.0,519.0,243.0,549.0,18.0,69.0
38,-60.6407,410.82526,169.21567,492.60037,-14.547057,55.778084,60.0,519.0,243.0,540.0,0.0,69.0
39,-62.771587,410.82526,169.21567,489.16245,-14.547057,55.778084,39.0,519.0,243.0,561.0,0.0,69.0
40,-74.77873,404.6594,264.3134,508.9967,-5.5677137,34.92732,0.0,519.0,489.0,600.0,0.0,45.0
41,-82.55232,404.6594,264.3134,512.1532,-5.5677137,34.92732,0.0,519.0,489.0,600.0,0.0,45.0
42,-84.1202,397.57724,264.3134,512.0974,4.7799673,34.92732,0.0,519.0,489.0,600.0,18.0,45.0
43,-84.712906,397.57724,264.3134,514.23193,4.7799673,34.92732,0.0,519.0,489.0,600.0,18.0,45.0
44,-86.42189,394.38168,334.53064,515.57916,12.7078905,28.711912,0.0,536.6400000000004,492.0,600.0,0.0,45.0
45,-88.47024,394.38168,334.53064,515.78906,12.7078905,28.711912,0.0,536.6400000000004,492.0,600.0,0.0,45.0
46,-90.09052,379.89966,334.53064,516.0986,27.314165,28.711912,0.0,244.1500000000001,492.0,600.0,63.35999999999946,45.0
