,TCN_real_up_1step,TCN_real_up_2step,TCN_real_up_4step,TCN_pre_up_1step,TCN_pre_up_2step,TCN_pre_up_4step,TCN_real_down_1step,TCN_real_down_2step,TCN_real_down_4step,TCN_pre_down_1step,TCN_pre_down_2step,TCN_pre_down_4step
0,28.279999999998825,25.839999999999026,25.839999999999026,14.439337,14.439337,14.439337,293.3200000000007,0.0,0.0,316.7687,0.28123742,-2.8569772
1,25.839999999999026,25.839999999999026,25.839999999999026,31.495499,14.439337,14.439337,574.1600000000012,0.0,0.0,568.8044,0.28123742,-2.8569772
2,76.55999999999992,25.839999999999026,25.839999999999026,64.81188,31.495499,14.439337,523.44,511.44000000000005,0.0,512.87036,505.78412,-2.8569772
3,99.11999999999985,25.839999999999026,25.839999999999026,134.90315,31.495499,14.439337,500.8800000000001,511.44000000000005,0.0,488.69562,505.78412,-2.8569772
4,121.71999999999959,76.55999999999992,25.839999999999026,146.85164,64.81188,31.495499,478.2800000000003,500.8800000000001,0.0,498.4143,477.02505,2.0414348
5,191.07999999999896,76.55999999999992,25.839999999999026,212.18068,64.81188,31.495499,408.92000000000087,500.8800000000001,0.0,375.05246,477.02505,2.0414348
6,354.1599999999997,99.11999999999985,25.839999999999026,402.157,105.45283,31.495499,245.84000000000032,478.2800000000003,0.0,206.0665,473.37463,2.0414348
7,371.95999999999987,99.11999999999985,25.839999999999026,385.00986,105.45283,31.495499,228.04000000000013,478.2800000000003,0.0,223.6257,473.37463,2.0414348
8,355.4399999999998,121.71999999999959,76.55999999999992,370.6805,146.85164,64.81188,244.56000000000017,408.92000000000087,387.92000000000087,166.90572,280.25504,386.5599
9,357.0,121.71999999999959,76.55999999999992,469.87875,146.85164,64.81188,243.0,408.92000000000087,387.92000000000087,43.335686,280.25504,386.5599
10,108.0,191.07999999999896,76.55999999999992,74.85642,212.18068,64.81188,492.0,245.84000000000032,387.92000000000087,497.56677,104.88823,386.5599
11,69.0,191.07999999999896,76.55999999999992,80.90706,212.18068,64.81188,531.0,245.84000000000032,387.92000000000087,562.97455,104.88823,386.5599
12,108.0,354.1599999999997,99.11999999999985,42.54768,370.77045,105.45283,492.0,228.04000000000013,245.84000000000032,522.8514,206.0665,146.04332
13,45.0,354.1599999999997,99.11999999999985,42.147427,370.77045,105.45283,555.0,228.04000000000013,245.84000000000032,492.547,206.0665,146.04332
14,66.0,355.4399999999998,99.11999999999985,91.84262,326.39755,105.45283,534.0,228.04000000000013,245.84000000000032,498.2386,223.6257,146.04332
15,84.0,355.4399999999998,99.11999999999985,69.46098,326.39755,105.45283,516.0,228.04000000000013,245.84000000000032,533.39905,223.6257,146.04332
16,45.0,355.4399999999998,121.71999999999959,80.97294,370.6805,146.85164,555.0,243.0,228.04000000000013,575.0749,166.90572,201.03693
17,60.0,355.4399999999998,121.71999999999959,92.00343,370.6805,146.85164,540.0,243.0,228.04000000000013,604.9338,166.90572,201.03693
18,18.0,108.0,121.71999999999959,33.263844,43.91213,146.85164,582.0,243.0,228.04000000000013,577.93713,43.335686,201.03693
19,81.0,108.0,121.71999999999959,74.89743,43.91213,146.85164,519.0,243.0,228.04000000000013,575.97455,43.335686,201.03693
20,0.0,69.0,191.07999999999896,22.818834,62.54928,212.18068,600.0,492.0,228.04000000000013,597.56024,497.56677,104.88823
21,81.0,69.0,191.07999999999896,54.115063,62.54928,212.18068,519.0,492.0,228.04000000000013,580.59937,497.56677,104.88823
22,56.75999999999979,69.0,191.07999999999896,21.741156,57.00845,212.18068,543.2400000000001,492.0,228.04000000000013,576.10657,516.93994,104.88823
23,63.35999999999946,69.0,191.07999999999896,123.955956,57.00845,212.18068,536.6400000000004,492.0,228.04000000000013,571.12256,516.93994,104.88823
24,156.0,45.0,354.1599999999997,188.56181,42.54768,358.16696,244.1500000000001,492.0,228.04000000000013,294.65216,522.8514,206.0665
25,315.0,45.0,354.1599999999997,295.6915,42.54768,358.16696,217.15000000000006,492.0,228.04000000000013,167.92065,522.8514,206.0665
26,338.59999999999985,45.0,354.1599999999997,339.69037,42.147427,358.16696,193.55000000000024,534.0,228.04000000000013,140.41551,492.547,206.0665
27,329.2099999999989,45.0,354.1599999999997,308.49243,42.147427,358.16696,241.29000000000113,534.0,228.04000000000013,218.37155,492.547,206.0665
28,312.0,66.0,108.0,304.94736,83.218155,64.05354,288.0,516.0,228.04000000000013,272.87866,498.2386,223.6257
29,309.0,66.0,108.0,376.53284,83.218155,64.05354,291.0,516.0,228.04000000000013,286.63113,498.2386,223.6257
30,321.0,45.0,108.0,355.61288,69.46098,64.05354,279.0,516.0,228.04000000000013,300.93292,533.39905,223.6257
31,321.43199999999985,45.0,108.0,335.1525,69.46098,64.05354,278.56800000000015,516.0,228.04000000000013,288.16196,533.39905,223.6257
32,399.0,45.0,69.0,397.92328,78.9874,54.668716,201.0,438.0,243.0,188.55685,500.7819,166.90572
33,422.43999999999954,45.0,69.0,374.78595,78.9874,54.668716,177.56000000000083,438.0,243.0,95.98783,500.7819,166.90572
34,456.0539999999999,18.0,69.0,521.72894,44.305206,54.668716,79.04600000000033,540.0,243.0,34.958096,576.233,166.90572
35,483.8399999999999,18.0,69.0,467.31412,44.305206,54.668716,48.31000000000002,540.0,243.0,33.35282,576.233,166.90572
36,510.0,18.0,69.0,504.6407,33.263844,40.836914,15.0,519.0,243.0,15.696277,556.354,43.335686
37,549.0,18.0,69.0,550.0271,33.263844,40.836914,51.0,519.0,243.0,28.928652,556.354,43.335686
38,540.0,0.0,69.0,579.9955,17.907833,40.836914,60.0,519.0,243.0,42.21816,569.4238,43.335686
39,561.0,0.0,69.0,549.6644,17.907833,40.836914,39.0,519.0,243.0,48.28562,569.4238,43.335686
40,600.0,0.0,45.0,599.3067,22.818834,21.871452,0.0,519.0,489.0,0.34298748,576.40027,448.25735
41,600.0,0.0,45.0,589.4678,22.818834,21.871452,0.0,519.0,489.0,1.2008797,576.40027,448.25735
42,600.0,18.0,45.0,586.0942,14.485117,21.871452,0.0,519.0,489.0,0.19175112,565.93353,448.25735
43,600.0,18.0,45.0,602.2797,14.485117,21.871452,0.0,519.0,489.0,1.1479721,565.93353,448.25735
44,600.0,0.0,45.0,600.393,21.741156,57.00845,0.0,536.6400000000004,492.0,-0.13394617,565.45886,498.49515
45,600.0,0.0,45.0,606.09357,21.741156,57.00845,0.0,536.6400000000004,492.0,-0.05534962,565.45886,498.49515
