GRU_pre_down_1step,GRU_pre_down_2step,GRU_pre_down_4step,GRU_pre_up_1step,GRU_pre_up_2step,GRU_pre_up_4step,real_down_1step,real_down_2step,real_down_4step,real_up_1step,real_up_2step,real_up_4step,TCN_pre_up_1step,TCN_pre_up_2step,TCN_pre_up_4step,TCN_pre_down_1step,TCN_pre_down_2step,TCN_pre_down_4step,LTSM_pre_down_1step,LTSM_pre_down_2step,LTSM_pre_down_4step,LTSM_pre_up_1step,LTSM_pre_up_2step,LTSM_pre_up_4step
89.78977,89.78977,89.78977,222.92006,222.92006,134.86742,293.32,0,0,28.28,25.84,25.84,14.439337,14.439337,14.439337,316.7687,0.28123742,-2.8569772,33.094032,33.094032,33.094032,38.182167,38.182167,38.182167
230.60045,89.78977,89.78977,192.7107,222.92006,134.86742,574.16,0,0,25.84,25.84,25.84,31.495499,14.439337,14.439337,568.8044,0.28123742,-2.8569772,34.457478,33.094032,33.094032,62.612495,38.182167,38.182167
317.2436,230.60045,89.78977,167.57733,192.7107,134.86742,523.44,511.44,0,76.56,25.84,25.84,64.81188,31.495499,14.439337,512.87036,505.78412,-2.8569772,41.396793,34.457478,33.094032,81.53342,62.612495,38.182167
339.91373,230.60045,89.78977,168.15982,192.7107,134.86742,500.88,511.44,0,99.12,25.84,25.84,134.90315,31.495499,14.439337,488.69562,505.78412,-2.8569772,56.61814,34.457478,33.094032,92.49856,62.612495,38.182167
348.235,317.2436,198.88043,173.48618,167.57733,141.84666,478.28,500.88,0,121.72,76.56,25.84,146.85164,64.81188,31.495499,498.4143,477.02505,2.0414348,82.56487,41.396793,34.457478,94.85406,81.53342,62.612495
321.06818,317.2436,198.88043,224.30829,167.57733,141.84666,408.92,500.88,0,191.08,76.56,25.84,212.18068,64.81188,31.495499,375.05246,477.02505,2.0414348,107.21084,41.396793,34.457478,101.6351,81.53342,62.612495
251.8731,339.91373,198.88043,349.95782,168.15982,141.84666,245.84,478.28,0,354.16,99.12,25.84,402.157,105.45283,31.495499,206.0665,473.37463,2.0414348,111.50391,56.61814,34.457478,133.08606,92.49856,62.612495
288.01633,339.91373,198.88043,322.9085,168.15982,141.84666,228.04,478.28,0,371.96,99.12,25.84,385.00986,105.45283,31.495499,223.6257,473.37463,2.0414348,133.14206,56.61814,34.457478,149.9011,92.49856,62.612495
286.00998,341.36777,206.44559,318.50015,173.48618,156.37193,244.56,408.92,387.92,355.44,121.72,76.56,370.6805,146.85164,64.81188,166.90572,280.25504,386.5599,156.5307,82.56487,41.396793,156.98874,94.85406,81.53342
260.0577,341.36777,206.44559,336.4761,173.48618,156.37193,243,408.92,387.92,357,121.72,76.56,469.87875,146.85164,64.81188,43.335686,280.25504,386.5599,169.21567,82.56487,41.396793,165.28087,94.85406,81.53342
465.64597,267.5633,206.44559,100.919586,224.30829,156.37193,492,245.84,387.92,108,191.08,76.56,74.85642,212.18068,64.81188,497.56677,104.88823,386.5599,264.3134,107.21084,41.396793,83.14851,101.6351,81.53342
461.93732,267.5633,206.44559,79.35227,224.30829,156.37193,531,245.84,387.92,69,191.08,76.56,80.90706,212.18068,64.81188,562.97455,104.88823,386.5599,334.53064,107.21084,41.396793,32.0935,101.6351,81.53342
447.2926,251.8731,162.1443,64.65132,327.89337,168.15982,492,228.04,245.84,108,354.16,99.12,42.54768,370.77045,105.45283,522.8514,206.0665,146.04332,364.72015,111.50391,56.61814,4.017954,133.08606,92.49856
455.7573,251.8731,162.1443,47.33232,327.89337,168.15982,555,228.04,245.84,45,354.16,99.12,42.147427,370.77045,105.45283,492.547,206.0665,146.04332,384.0288,111.50391,56.61814,-15.482276,133.08606,92.49856
428.50815,288.01633,162.1443,63.047714,306.45636,168.15982,534,228.04,245.84,66,355.44,99.12,91.84262,326.39755,105.45283,498.2386,223.6257,146.04332,382.8774,133.14206,56.61814,-17.838879,149.9011,92.49856
434.77493,288.01633,162.1443,56.936596,306.45636,168.15982,516,228.04,245.84,84,355.44,99.12,69.46098,326.39755,105.45283,533.39905,223.6257,146.04332,386.71832,133.14206,56.61814,-18.366194,149.9011,92.49856
445.13522,286.00998,193.7918,45.981834,309.09183,173.48618,555,243,228.04,45,355.44,121.72,80.97294,370.6805,146.85164,575.0749,166.90572,201.03693,397.4117,156.5307,82.56487,-20.34631,156.98874,94.85406
447.60364,286.00998,193.7918,39.38439,309.09183,173.48618,540,243,228.04,60,355.44,121.72,92.00343,370.6805,146.85164,604.9338,166.90572,201.03693,405.7089,156.5307,82.56487,-20.665243,156.98874,94.85406
452.08923,260.0577,193.7918,32.29753,105.218056,173.48618,582,243,228.04,18,108,121.72,33.263844,43.91213,146.85164,577.93713,43.335686,201.03693,412.2077,169.21567,82.56487,-20.006403,165.28087,94.85406
444.71033,260.0577,193.7918,36.074356,105.218056,173.48618,519,243,228.04,81,108,121.72,74.89743,43.91213,146.85164,575.97455,43.335686,201.03693,410.82526,169.21567,82.56487,-14.547057,165.28087,94.85406
437.65396,465.64597,208.464,42.725624,61.202198,224.30829,600,492,228.04,0,69,191.08,22.818834,62.54928,212.18068,597.56024,497.56677,104.88823,404.6594,264.3134,107.21084,-5.5677137,83.14851,101.6351
433.26544,465.64597,208.464,49.01601,61.202198,224.30829,519,492,228.04,81,69,191.08,54.115063,62.54928,212.18068,580.59937,497.56677,104.88823,397.57724,264.3134,107.21084,4.7799673,83.14851,101.6351
436.9329,461.93732,208.464,48.06752,51.99852,224.30829,543.24,492,228.04,56.76,69,191.08,21.741156,57.00845,212.18068,576.10657,516.93994,104.88823,394.38168,334.53064,107.21084,12.7078905,32.0935,101.6351
419.7298,461.93732,208.464,64.8244,51.99852,224.30829,536.64,492,228.04,63.36,69,191.08,123.955956,57.00845,212.18068,571.12256,516.93994,104.88823,379.89966,334.53064,107.21084,27.314165,32.0935,101.6351
310.40326,447.2926,203.64586,210.96118,41.450554,258.14838,244.15,492,228.04,156,45,354.16,188.56181,42.54768,358.16696,294.65216,522.8514,206.0665,305.33044,364.72015,111.50391,87.449455,4.017954,133.08606
256.63763,447.2926,203.64586,330.1106,41.450554,258.14838,217.15,492,228.04,315,45,354.16,295.6915,42.54768,358.16696,167.92065,522.8514,206.0665,242.47667,364.72015,111.50391,160.79576,4.017954,133.08606
236.64093,455.7573,203.64586,389.70956,47.33232,258.14838,193.55,534,228.04,338.6,45,354.16,339.69037,42.147427,358.16696,140.41551,492.547,206.0665,203.10779,384.0288,111.50391,217.0477,-15.482276,133.08606
254.58607,455.7573,203.64586,376.49246,47.33232,258.14838,241.29,534,228.04,329.21,45,354.16,308.49243,42.147427,358.16696,218.37155,492.547,206.0665,192.86308,384.0288,111.50391,237.28474,-15.482276,133.08606
293.2718,428.50815,249.42696,339.48245,53.044537,113.316734,288,516,228.04,312,66,108,304.94736,83.218155,64.05354,272.87866,498.2386,223.6257,198.7545,382.8774,133.14206,239.61685,-17.838879,149.9011
281.4373,428.50815,249.42696,355.22064,53.044537,113.316734,291,516,228.04,309,66,108,376.53284,83.218155,64.05354,286.63113,498.2386,223.6257,188.50066,382.8774,133.14206,262.14,-17.838879,149.9011
276.3855,434.77493,249.42696,360.54276,43.576714,113.316734,279,516,228.04,321,45,108,355.61288,69.46098,64.05354,300.93292,533.39905,223.6257,171.09958,386.71832,133.14206,279.25836,-18.366194,149.9011
