,norm_TRAN_real_up_1step,norm_TRAN_real_up_2step,norm_TRAN_real_up_4step,norm_TRAN_pre_up_1step,norm_TRAN_pre_up_2step,norm_TRAN_pre_up_4step,norm_TRAN_real_down_1step,norm_TRAN_real_down_2step,norm_TRAN_real_down_4step,norm_TRAN_pre_down_1step,norm_TRAN_pre_down_2step,norm_TRAN_pre_down_4step
0,540.0,348.0,30.0,555.79443,349.37177,28.134119,36.0,36.0,27.0,19.849916,19.849916,15.519983
1,549.0,348.0,30.0,579.7779,349.37177,28.134119,42.0,36.0,27.0,31.41234,19.849916,15.519983
2,537.0,465.0,30.0,543.6901,483.7772,28.134119,66.0,66.0,27.0,44.727493,44.727493,15.519983
3,507.0,465.0,30.0,525.0303,483.7772,28.134119,93.0,66.0,27.0,78.08265,44.727493,15.519983
4,489.0,486.0,63.000004,513.6105,513.6105,102.47425,108.0,90.0,50.999996,87.774734,80.21175,55.131973
5,486.0,486.0,63.000004,508.51,513.6105,102.47425,99.0,90.0,50.999996,88.041794,80.21175,55.131973
6,507.0,480.0,63.000004,514.79645,511.9564,102.47425,93.0,87.0,50.999996,86.16206,86.16206,55.131973
7,513.0,480.0,63.000004,523.5604,511.9564,102.47425,87.0,87.0,50.999996,88.18349,86.16206,55.131973
8,516.0,480.0,435.0,530.7769,511.6942,483.73096,63.000004,36.0,3.0,78.34377,55.941887,1.6731039
9,531.0,480.0,435.0,543.0316,511.6942,483.73096,36.0,36.0,3.0,46.68377,55.941887,1.6731039
10,540.0,510.0,435.0,561.6981,516.31055,483.73096,12.0,3.0,3.0,17.042515,7.0193133,1.6731039
11,570.0,510.0,435.0,595.8278,516.31055,483.73096,6.0,3.0,3.0,12.493164,7.0193133,1.6731039
12,573.0,495.0,333.0,592.3986,512.32874,353.3137,9.0,9.0,0.0,15.697923,11.362714,3.833577
13,558.0,495.0,333.0,576.04034,512.32874,353.3137,24.0,9.0,0.0,22.110106,11.362714,3.833577
14,462.0,411.0,333.0,453.0421,413.72958,353.3137,39.0,33.0,0.0,38.907257,36.51659,3.833577
15,432.0,411.0,333.0,421.87982,413.72958,353.3137,48.0,33.0,0.0,64.14215,36.51659,3.833577
16,330.0,213.0,66.0,337.05734,237.08138,71.3063,93.0,93.0,30.0,91.16455,91.16455,40.899414
17,219.0,213.0,66.0,228.38872,237.08138,71.3063,183.0,93.0,30.0,161.13014,91.16455,40.899414
18,147.0,135.0,66.0,157.29372,138.08215,71.3063,273.0,258.0,30.0,262.87808,258.52548,40.899414
19,138.0,135.0,66.0,140.72989,138.08215,71.3063,321.0,258.0,30.0,322.45892,258.52548,40.899414
