,TRAN_real_up_1step,TRAN_real_up_2step,TRAN_real_up_4step,TRAN_pre_up_1step,TRAN_pre_up_2step,TRAN_pre_up_4step,TRAN_real_down_1step,TRAN_real_down_2step,TRAN_real_down_4step,TRAN_pre_down_1step,TRAN_pre_down_2step,TRAN_pre_down_4step
0,14.92,14.92,14.92,24.946192,23.14716,23.14716,359.8,0.0,0.0,345.92038,-1.3897442,-2.529607
1,18.08,14.92,14.92,22.560633,23.14716,23.14716,572.96,0.0,0.0,582.85034,-1.3897442,-2.529607
2,58.32,18.08,14.92,85.3482,22.560633,23.14716,523.08,523.08,0.0,527.7839,515.3531,-2.529607
3,74.04,18.08,14.92,102.76723,22.560633,23.14716,515.16,523.08,0.0,504.04398,515.3531,-2.529607
4,88.91999,58.32,18.08,115.09296,85.3482,22.560633,450.48,515.16,0.0,490.55737,501.28873,-0.42784363
5,186.0,58.32,18.08,228.07126,85.3482,22.560633,420.2,515.16,0.0,398.8969,501.28873,-0.42784363
6,291.4,74.04,18.08,371.85626,102.76723,22.560633,222.56,450.48,0.0,266.8718,484.58862,-0.42784363
7,335.68,74.04,18.08,377.97717,102.76723,22.560633,218.2,450.48,0.0,254.58717,484.58862,-0.42784363
8,328.4,88.91999,58.32,368.20807,115.09296,85.3482,276.08,420.2,414.2,277.53018,400.52078,388.019
9,348.0,88.91999,58.32,380.4603,115.09296,85.3482,258.0,420.2,414.2,256.4101,400.52078,388.019
10,96.0,186.0,58.32,86.8902,228.07126,85.3482,510.0,222.56,414.2,520.0991,260.65976,388.019
11,90.0,186.0,58.32,69.5635,228.07126,85.3482,540.0,222.56,414.2,537.08887,260.65976,388.019
12,66.0,291.4,74.04,77.783356,371.85626,102.76723,501.0,218.2,222.56,528.98865,259.47458,257.51492
13,78.0,291.4,74.04,66.16102,371.85626,102.76723,549.0,218.2,222.56,540.9291,259.47458,257.51492
14,57.0,328.4,74.04,71.35968,370.77167,102.76723,513.0,218.2,222.56,537.0812,254.58717,257.51492
15,116.99999,328.4,74.04,75.06638,370.77167,102.76723,522.0,218.2,222.56,531.0728,254.58717,257.51492
16,45.0,328.4,88.91999,37.444786,368.20807,115.09296,552.0,258.0,218.2,560.88184,277.53018,250.97112
17,42.0,328.4,88.91999,34.987587,368.20807,115.09296,537.0,258.0,218.2,567.1587,277.53018,250.97112
18,0.0,96.0,88.91999,33.768127,89.80625,115.09296,579.0,258.0,218.2,564.1561,256.4101,250.97112
19,39.0,96.0,88.91999,40.241005,89.80625,115.09296,558.0,258.0,218.2,558.6965,256.4101,250.97112
20,45.0,90.0,186.0,28.496357,71.7864,228.07126,579.0,510.0,218.2,568.16113,520.0991,252.01637
21,48.0,90.0,186.0,42.29154,71.7864,228.07126,474.0,510.0,218.2,553.38763,520.0991,252.01637
22,39.0,66.0,186.0,38.027916,69.5635,228.07126,591.0,501.0,218.2,561.37,526.06714,252.01637
23,94.92,66.0,186.0,79.65255,69.5635,228.07126,520.8,501.0,218.2,529.1094,526.06714,252.01637
24,152.704,66.0,291.4,187.85728,66.250725,371.85626,294.238,501.0,218.2,280.38574,528.98865,259.47458
25,336.94,66.0,291.4,323.92755,66.250725,371.85626,202.69002,501.0,218.2,217.66733,528.98865,259.47458
26,386.05,57.0,291.4,365.95743,66.16102,371.85626,148.7,513.0,218.2,178.75266,532.3733,259.47458
27,324.136,57.0,291.4,366.32117,66.16102,371.85626,174.19,513.0,218.2,235.69511,532.3733,259.47458
28,285.0,57.0,96.0,310.3021,71.35968,83.82157,312.0,513.0,218.2,318.79367,522.14874,254.58717
29,276.0,57.0,96.0,313.48962,71.35968,83.82157,288.0,513.0,218.2,321.41104,522.14874,254.58717
30,285.352,45.0,96.0,299.13348,41.598984,83.82157,324.0,522.0,218.2,333.74646,531.0728,254.58717
31,300.144,45.0,96.0,317.6593,41.598984,83.82157,263.352,522.0,218.2,314.33545,531.0728,254.58717
32,399.0,42.0,90.0,402.4327,32.09027,66.99626,219.0,432.00003,258.0,234.385,448.58704,277.53018
33,395.9,42.0,90.0,442.3578,32.09027,66.99626,161.7,432.00003,258.0,182.26187,448.58704,277.53018
34,424.97003,0.0,90.0,485.2873,32.31802,66.99626,76.04,537.0,258.0,66.241104,566.6681,277.53018
35,450.0,0.0,90.0,489.74728,32.31802,66.99626,68.57,537.0,258.0,42.201653,566.6681,277.53018
36,483.0,0.0,66.0,501.13516,33.768127,67.60914,18.0,558.0,258.0,27.74536,556.86725,256.4101
37,534.0,0.0,66.0,572.9105,33.768127,67.60914,39.0,558.0,258.0,30.039696,556.86725,256.4101
38,600.0,39.0,66.0,580.4348,21.375927,67.60914,6.0,558.0,258.0,22.864973,558.6965,256.4101
39,567.0,39.0,66.0,574.80774,21.375927,67.60914,51.0,558.0,258.0,24.919538,558.6965,256.4101
40,600.0,21.0,66.0,606.0729,22.944283,58.101765,0.0,474.0,480.0,1.4544413,551.2009,482.67105
41,600.0,21.0,66.0,605.8237,22.944283,58.101765,0.0,474.0,480.0,1.1780732,551.2009,482.67105
42,600.0,0.0,66.0,606.5516,22.79865,58.101765,0.0,474.0,480.0,1.3414309,553.38763,482.67105
43,600.0,0.0,66.0,606.2808,22.79865,58.101765,0.0,474.0,480.0,1.2521244,553.38763,482.67105
44,600.0,21.0,57.0,606.5572,17.75993,57.186314,0.0,520.8,501.0,1.3467417,517.50775,526.06714
45,600.0,21.0,57.0,606.2864,17.75993,57.186314,0.0,520.8,501.0,1.3216473,517.50775,526.06714
46,600.0,94.92,57.0,606.6395,79.65255,57.186314,0.0,294.238,501.0,1.3311155,275.02194,526.06714
47,600.0,94.92,57.0,606.4597,79.65255,57.186314,0.0,294.238,501.0,1.3212227,275.02194,526.06714
48,600.0,152.704,57.0,606.55316,187.85728,42.19384,0.0,202.69002,417.0,1.3675891,222.60852,416.65845
49,600.0,152.704,57.0,606.46564,187.85728,42.19384,0.0,202.69002,417.0,1.4094495,222.60852,416.65845
50,600.0,336.94,57.0,606.44403,321.6473,42.19384,0.0,148.7,417.0,1.3272955,181.47342,416.65845
51,600.0,336.94,57.0,606.58624,321.6473,42.19384,0.0,148.7,417.0,1.4004037,181.47342,416.65845
52,600.0,252.736,45.0,606.43036,279.54388,34.876728,0.0,148.7,417.0,1.3517306,178.75266,414.69333
53,600.0,252.736,45.0,606.57,279.54388,34.876728,0.0,148.7,417.0,1.4169015,178.75266,414.69333
54,600.0,276.0,45.0,606.49,293.56058,34.876728,0.0,174.19,417.0,1.4437325,235.69511,414.69333
55,600.0,276.0,45.0,606.55115,293.56058,34.876728,0.0,174.19,417.0,1.4025003,235.69511,414.69333
56,567.0,276.0,0.0,574.33746,310.3021,15.739675,21.0,288.0,432.00003,25.23238,318.79367,440.99515
57,567.0,276.0,0.0,564.8401,310.3021,15.739675,0.0,288.0,432.00003,35.878265,318.79367,440.99515
58,508.424,276.0,0.0,561.9632,299.66162,15.739675,46.279995,288.0,432.00003,41.581116,321.41104,440.99515
