,TRAN_real_up_1step,TRAN_real_up_2step,TRAN_real_up_4step,TRAN_pre_up_1step,TRAN_pre_up_2step,TRAN_pre_up_4step,TRAN_real_down_1step,TRAN_real_down_2step,TRAN_real_down_4step,TRAN_pre_down_1step,TRAN_pre_down_2step,TRAN_pre_down_4step
0,14.92,14.92,14.92,21.055187,19.706635,19.706635,359.8,0.0,0.0,331.27615,2.7090244,2.7090244
1,18.08,14.92,14.92,25.523344,19.706635,19.706635,572.96,0.0,0.0,588.58344,2.7090244,2.7090244
2,58.32,58.32,14.92,79.928696,79.928696,19.706635,523.08,515.16,0.0,532.8789,517.1338,2.7090244
3,74.04,58.32,14.92,99.7146,79.928696,19.706635,515.16,515.16,0.0,515.9412,517.1338,2.7090244
4,88.91999,88.91999,88.91999,112.42743,112.42743,112.42743,450.48,420.2,218.2,500.95074,392.7911,227.97299
5,186.0,88.91999,88.91999,227.22751,112.42743,112.42743,420.2,420.2,218.2,395.42505,392.7911,227.97299
6,291.4,291.4,88.91999,362.74652,362.74652,112.42743,222.56,218.2,218.2,238.5024,232.06151,227.97299
7,335.68,291.4,88.91999,376.07895,362.74652,112.42743,218.2,218.2,218.2,227.23778,232.06151,227.97299
8,328.4,328.4,90.0,355.44836,355.44836,65.61409,276.08,258.0,258.0,247.42513,225.30487,225.30487
9,348.0,328.4,90.0,372.26373,355.44836,65.61409,258.0,258.0,258.0,228.44934,225.30487,225.30487
10,96.0,90.0,90.0,80.35776,67.23741,65.61409,510.0,510.0,258.0,528.66565,528.66565,225.30487
11,90.0,90.0,90.0,68.07026,67.23741,65.61409,540.0,510.0,258.0,544.32733,528.66565,225.30487
12,66.0,66.0,57.0,76.84338,65.5594,45.87541,501.0,501.0,417.0,538.0657,538.0657,410.8234
13,78.0,66.0,57.0,71.19197,65.5594,45.87541,549.0,501.0,417.0,544.10315,538.0657,410.8234
14,57.0,57.0,57.0,73.14022,73.14022,45.87541,513.0,513.0,417.0,541.07745,538.9906,410.8234
15,116.99999,57.0,57.0,76.06121,73.14022,45.87541,522.0,513.0,417.0,538.9141,538.9906,410.8234
